titles,category
 출퇴근 시간 돌려드린다   대통령     분대 연결  선언,Politics
한동훈  대기업 소규모 사업장  격차  고려 중처법 유예해야 ,Politics
 김 여사 질문 에 말 아낀 한동훈  충분히 말씀드렸다 ,Politics
야당  산업안전청 설립  요구에 여당 거부 중대재해법 유예 합의 불발,Politics
김진표 국회의장  강성희 사태 관련  재발 않도록 적절한 조치 필요 ,Politics
북한  신형 전략순항미사일  불화살       첫 시험발사 종합 ,Politics
행안위  이재명 피습 의혹  경찰 추궁 여당 불참,Politics
   돌봄서비스 소득기준 폐지 늘봄학교     년 무상운영 추진 ,Politics
정의당  병립형   위성정당 반대  연동 병립 반반  수용 가능 ,Politics
 항소심 당선무효형  이은주  정의당  석 지키려 오늘 사퇴,Politics
     년  월까지  농촌 빈집  숙박시설로 이용 가능 ,Economic
한돈농가  사료값 치솟아 유동성 위기 정부지원 소비촉진 절실 ,Economic
건설업 등 부진 영향  월 기업 체감경기 악화,Economic
정부  김포골드라인 혼잡도 해결 위해 팔 걷어붙였다,Economic
얼어붙은 매수심리 전국 아파트 매매가  주째 하락,Economic
지난해 경제성장률      국민총소득도      늘어,Economic
수협은행  서천시장 화재에    억원 규모 긴급금융지원,Economic
 GTX A  월 개통 GTX 길어지고 많아진다 수도권   분시대 ,Economic
 용산 이촌 강서 화곡 지구단위계획 전환   용도 높이 규제완화 서울 ,Economic
아파트 옥상 임차료 담합 통신 사    억원 과징금 철퇴,Economic
마포구청장  신규소각장은 예산낭비  기존 소각장 개선이 최선 ,Social
검찰  울산시청 양산시청 압수수색 건설 비리 의혹 종합 ,Social
대법   일제 강제동원  피해자 손배소 승소 또 확정,Social
대법  박경귀 아산시장  선거법 위반  재판 다시 ,Social
경기도      년 표준지 공시지가       상승,Social
김하성 류현진 공갈 혐의 임혜동 구속심사 묵묵부답,Social
 청년창업 지원금     만원  음성군 청년 지원사업 추진,Social
만취운전으로 축구선수  하반신 마비 시킨   대 징역  년,Social
코로나   약해졌지만 미접종자    명 중  명 호흡기 신세 접종자의  배,Social
 쿠팡 자회사  SNL코리아 제작진 다 빼돌렸다   계약만료 이직  맞서,Social
클래식 음악계의 노벨상 받은 진은숙  전에 받은 어떤 상보다도 영광스러워 ,Culture
 전국 매서운 강추위 기승 내일 낮부터 누그러져 날씨클릭 ,Culture
 영상 구례  화엄사 홍매화  천연기념물 된다,Culture
공화당 표심     등 업은 트럼프  본선행 예약 버튼 눌렀다,World
 미국  이라크 시리아에서 철군 검토   IS 부활  우려,World
마이크로소프트 기업가치 프랑스 전체 GDP 맞먹는다     사상 첫  조달러 돌파,World
이스라엘군  유엔 피란민 시설 탱크로 공격  명 사망,World
빈살만  한잔 하세요    년만에 술 매장 허용한  금주국가  사우디,World
 도쿄전력  올해  월부터 오염수  만    만t  회 걸쳐 방류 ,World
미국 보잉 항공기 또 사고 이륙 준비 중 바퀴 빠져,World
러시아     명 사망  군 수송기 추락 사고에  안보리 회의 소집  요청,World
  WSJ      불 짜리 디올백이 한국 집권 여당을 뒤흔들다 ,World
국민     유전자 샘플 냈다 첨단 기술에  올인 하는 이 나라,World
지난해  분기  스팸 신고     급증 온라인 부고장 기승,IT
삼성SDS  작년 영업익     억 전년비         물류사업 부진,IT
긴장감 도는 제 이통사 주파수 경매 후보업체  성실히 임하겠다 ,IT
 삼성SDS  첼로스퀘어 올해 매출 목표  조원  컨콜 ,IT
에티버스  오라클 클라우드 인프라 사업 본격 확대,IT
설명절     만개 소포우편물 몰린다 우체국  특별소통 돌입,IT
KAIST   뼈 반창고  역할하는 신소재 개발,IT
김창한 크래프톤 대표  계단식 성장 위한 전환점 될 것 ,IT
